CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
,,REGIÓN: Región Andina,,,,,,,,,,,,
2980,UNIVERSIDAD AUTONOMA DE MANIZALES,Manizales,17,5,52,1,50,6,46,1,4,11,13,2
17759,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,"Bogotá, D.C.",45,41,52,32,47,15,20,9,10,40,46,45
53897,UNIVERSIDAD DE SAN BUENAVENTURA,"Bogotá, D.C.",11,12,0,7,20,3,5,21,4,7,11,17
90893,UNIVERSIDAD ECCI,"Bogotá, D.C.",124,88,109,67,91,23,70,56,117,77,80,75
91153,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Manizales,379,589,383,384,260,164,91,36,37,0,0,0
101649,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,Espinal,14,2,24,14,35,15,23,10,31,0,0,0
102327,UNIVERSIDAD DEL QUINDIO,Armenia,55,44,61,22,66,0,77,36,77,36,93,70
102855,UNIVERSIDAD ECCI,"Bogotá, D.C.",378,237,281,196,240,99,214,121,254,146,198,122
103233,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,"Bogotá, D.C.",2,0,0,0,0,6,0,1,1,2,0,2
105344,FUNDACION UNIVERSITARIA COLOMBO GERMANA,"Bogotá, D.C.",4,8,8,1,9,1,0,0,0,0,0,0
105652,UNIVERSIDAD ECCI,Medellín,35,36,62,38,42,14,20,28,8,1,3,4
107004,INSTITUTO TECNOLOGICO METROPOLITANO,Medellín,0,222,146,69,178,92,133,111,151,156,185,126
107315,UNIVERSIDAD COOPERATIVA DE COLOMBIA,"Bogotá, D.C.",0,0,18,13,11,7,13,15,5,14,24,60
107757,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,0,0,91,29,0,58,113,0,0,1,0,0
107986,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,"Bogotá, D.C.",0,0,0,0,0,0,7,0,45,4,21,53
108014,INSTITUCION UNIVERSITARIA EAM,Armenia,0,0,0,0,26,8,20,8,12,7,0,0
108044,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,0,0,0,99,171,156,171,160,125,118,134,187
108119,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,0,0,0,38,0,16,41,0,0,0,0,0
108126,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Neiva,0,0,0,36,126,54,3,37,85,93,30,53
108129,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Sogamoso,0,0,0,70,0,48,52,79,37,36,0,28
109017,UNIDADES TECNOLOGICAS DE SANTANDER,Bucaramanga,0,0,0,0,87,31,71,71,60,97,96,78
109065,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,0,0,0,0,67,58,80,47,140,35,105,140
109236,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,"Bogotá, D.C.",0,0,0,0,0,117,192,107,174,140,90,91
109448,INSTITUCIÓN UNIVERSITARIA COMANDO DE EDUCACIÓN Y DOCTRINA - CEDOC DEL EJÉRCITO NACIONAL,Facatativá,0,0,0,0,0,19,27,12,0,12,14,0
109789,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,"Bogotá, D.C.",0,0,0,0,0,0,0,0,110,65,192,194
110020,FUNDACION UNIVERSITARIA LOS LIBERTADORES,"Bogotá, D.C.",0,0,0,0,0,0,0,2,10,31,32,29
110051,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,0,0,0,0,0,0,0,0,40,37,24,0
110055,UNIVERSIDAD DE CALDAS,Manizales,0,0,0,0,0,0,0,13,45,0,17,13
110139,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,San José de Cúcuta,0,0,0,0,0,0,0,23,43,102,31,23
110167,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Dosquebradas,0,0,0,0,0,0,0,12,6,4,27,9
110214,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,0,0,0,0,0,0,0,13,77,43,39,69
110219,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,"Bogotá, D.C.",0,0,0,0,0,0,0,85,47,102,60,89
,TOTAL REGIÓN Región Andina,,1064,1284,1287,1116,1526,1010,1489,1114,1755,1417,1565,1579
,,,,,,,,,,,,,,
,,REGIÓN: Región Caribe,,,,,,,,,,,,
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,Barranquilla,22,0,25,9,19,12,24,9,9,4,2,1
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,Cartagena de Indias,63,39,89,36,74,13,46,22,46,36,63,51
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Cartagena de Indias,0,0,0,102,49,43,0,87,36,1,39,101
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Barranquilla,0,0,0,30,29,76,0,33,35,33,34,0
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Riohacha,0,0,0,0,56,63,37,0,0,54,74,36
,TOTAL REGIÓN Región Caribe,,85,39,114,177,227,207,107,151,126,128,212,189
,,,,,,,,,,,,,,
,,REGIÓN: Región Orinoquía,,,,,,,,,,,,
108117,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,0,0,0,63,0,0,83,28,0,57,0,36
110192,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,0,0,0,0,0,0,74,44,33,0,0,49
,TOTAL REGIÓN Región Orinoquía,,0,0,0,63,0,0,157,72,33,57,0,85
,,,,,,,,,,,,,,
,,REGIÓN: Región Pacífico,,,,,,,,,,,,
12198,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,Santiago de Cali,29,17,39,34,24,10,18,32,45,21,30,57
101749,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",Santiago de Cali,30,10,18,7,1,0,7,3,4,3,10,0
103049,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,Santiago de Cali,9,12,13,9,16,6,5,8,8,10,6,0
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Santiago de Cali,23,18,18,17,7,0,0,0,0,0,0,0
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,85,196,198,54,235,141,90,0,0,0
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Pasto,0,0,0,35,46,38,53,0,0,0,34,32
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,22,72,12,0,23,0,0,0,0
108949,UNIVERSIDAD DEL VALLE,Palmira,0,0,0,0,0,33,24,0,32,37,30,31
109003,UNIVERSIDAD DEL VALLE,Cartago,0,0,0,0,0,20,29,0,25,24,29,23
109528,UNIVERSIDAD DEL VALLE,Buenaventura,0,0,0,0,0,19,0,0,35,18,28,25
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,0,0,0,0,0,16,85,84,6,51
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,0,0,0,0,68,56,25,0,31
110176,UNIVERSIDAD DEL VALLE,Tuluá,0,0,0,0,0,0,42,0,0,0,0,0
110871,UNIVERSIDAD DEL VALLE,Zarzal,0,0,0,0,0,0,0,0,30,0,24,1
,TOTAL REGIÓN Región Pacífico,,91,57,173,320,364,192,413,291,410,222,197,251
,,,,,,,,,,,,,,
