CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2
,,REGIÓN: Región Andina,,,,,,,,,,
2980,UNIVERSIDAD AUTONOMA DE MANIZALES,Manizales,16,5,50,0,44,5,45,0,4,11
17759,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,"Bogotá, D.C.",38,32,44,22,33,1,2,0,0,35
53897,UNIVERSIDAD DE SAN BUENAVENTURA,"Bogotá, D.C.",9,7,0,4,17,1,1,11,0,4
90893,UNIVERSIDAD ECCI,"Bogotá, D.C.",112,59,98,47,70,24,72,60,108,78
91153,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Manizales,300,393,306,264,197,88,79,26,27,0
101649,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,Espinal,14,18,23,13,33,15,23,7,29,10
102327,UNIVERSIDAD DEL QUINDIO,Armenia,40,0,45,20,58,0,67,29,62,26
102855,UNIVERSIDAD ECCI,"Bogotá, D.C.",352,199,256,147,197,92,206,123,249,155
103233,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,"Bogotá, D.C.",37,29,31,23,13,23,26,26,15,42
105344,FUNDACION UNIVERSITARIA COLOMBO GERMANA,"Bogotá, D.C.",9,8,8,1,9,1,0,0,0,0
105652,UNIVERSIDAD ECCI,Medellín,37,27,61,33,33,21,16,27,6,1
107004,INSTITUTO TECNOLOGICO METROPOLITANO,Medellín,0,172,104,56,135,89,112,90,151,111
107315,UNIVERSIDAD COOPERATIVA DE COLOMBIA,"Bogotá, D.C.",0,0,18,14,11,5,4,12,0,12
107757,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,0,0,74,23,0,30,91,0,0,1
107986,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,"Bogotá, D.C.",0,0,0,0,0,0,7,0,45,4
108014,INSTITUCION UNIVERSITARIA EAM,Armenia,0,0,0,0,43,7,18,7,11,6
108044,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,0,0,0,70,144,137,142,130,102,94
108119,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,0,0,0,33,0,0,32,0,0,0
108126,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Neiva,0,0,0,31,60,25,3,36,59,66
108129,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Sogamoso,0,0,0,51,0,32,36,58,31,31
109017,UNIDADES TECNOLOGICAS DE SANTANDER,Bucaramanga,0,0,0,0,68,37,73,80,64,153
109065,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,0,0,0,0,45,30,62,27,99,29
109236,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,"Bogotá, D.C.",0,0,0,0,0,103,173,83,118,103
109448,INSTITUCIÓN UNIVERSITARIA COMANDO DE EDUCACIÓN Y DOCTRINA - CEDOC DEL EJÉRCITO NACIONAL,Facatativá,0,0,0,0,0,19,27,12,0,12
109789,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,"Bogotá, D.C.",0,0,0,0,0,0,0,0,110,55
110020,FUNDACION UNIVERSITARIA LOS LIBERTADORES,"Bogotá, D.C.",0,0,0,0,0,0,0,1,9,23
110051,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,0,0,0,0,0,0,0,0,30,30
110055,UNIVERSIDAD DE CALDAS,Manizales,0,0,0,0,0,0,0,0,26,0
110139,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,San José de Cúcuta,0,0,0,0,0,0,0,0,31,48
110167,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Dosquebradas,0,0,0,0,0,0,0,0,0,0
110214,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,0,0,0,0,0,0,0,0,25,26
110219,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,"Bogotá, D.C.",0,0,0,0,0,0,0,54,28,59
,TOTAL REGIÓN Región Andina,,964,949,1118,852,1210,785,1317,899,1439,1225
,,,,,,,,,,,,
,,REGIÓN: Región Caribe,,,,,,,,,,
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,Barranquilla,25,7,24,9,18,20,57,25,14,24
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,Cartagena de Indias,49,25,72,18,56,1,32,12,30,20
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Cartagena de Indias,0,0,0,73,35,35,0,72,30,1
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Barranquilla,0,0,0,27,26,54,0,25,25,25
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Riohacha,0,0,0,0,35,35,30,0,0,35
,TOTAL REGIÓN Región Caribe,,74,32,96,127,170,145,119,134,99,105
,,,,,,,,,,,,
,,REGIÓN: Región Orinoquía,,,,,,,,,,
108117,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,0,0,0,49,0,0,55,28,0,45
110192,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,0,0,0,0,0,0,74,30,25,0
,TOTAL REGIÓN Región Orinoquía,,0,0,0,49,0,0,129,58,25,45
,,,,,,,,,,,,
,,REGIÓN: Región Pacífico,,,,,,,,,,
12198,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,Santiago de Cali,29,15,31,27,15,10,15,25,30,16
101749,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",Santiago de Cali,30,10,19,8,1,0,7,3,5,3
103049,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,Santiago de Cali,6,10,10,7,13,2,4,5,7,6
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Santiago de Cali,17,16,16,17,2,0,0,0,0,0
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,54,132,155,49,194,108,70,0
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Pasto,0,0,0,30,31,35,33,0,0,0
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,22,54,0,0,0,0,0
108949,UNIVERSIDAD DEL VALLE,Palmira,0,0,0,0,0,29,0,33,28,37
109003,UNIVERSIDAD DEL VALLE,Cartago,0,0,0,0,0,18,22,7,25,24
109528,UNIVERSIDAD DEL VALLE,Buenaventura,0,0,0,0,0,19,0,0,35,18
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,0,0,0,0,0,11,70,73
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,0,0,0,0,19,25,0
110176,UNIVERSIDAD DEL VALLE,Tuluá,0,0,0,0,0,0,0,43,0,0
110871,UNIVERSIDAD DEL VALLE,Zarzal,0,0,0,0,0,0,0,0,30,0
,TOTAL REGIÓN Región Pacífico,,82,51,130,243,271,162,275,254,325,177
,,,,,,,,,,,,
